side effects,3322
medical information,3038
user ratings,3018
medical advice,3018
ease of use,3018
over the counter,2431
prescription drugs,2420
drug reviews,2418
drug ratings,2418
drug information,2188
drug interactions,2178
rate a drug,2175
drug images,2171
precautions - webmd,2168
natural treatment,843
user reviews,843
heart disease,325
slide show,296
trying to conceive,275
3rd trimester,262
weight loss,262
compare drugs,250
slide shows,245
medical condition,244
otc medication,244
compare treatments,243
drug satisfaction,243
pain management,218
diet & weight management,206
gestational diabetes,196
third trimester,195
labor and delivery,187
labor  delivery,178
hair loss,178
skin cancer,178
common cold,174
digestive disorders,162
hearing loss,160
swine flu,159
heart attack,158
morning sickness,156
food and recipes,155
cold sores,154
genital herpes,152
i have an answer,147
ask a medical expert,147
health question,147
health questions,147
i have a question,147
ask a health question,147
ask a doctor,147
ask a question,147
getting pregnant,147
ask a physician,147
ask an expert,147
answer a question,147
oral health,136
fertility problems,136
pregnancy forum,134
message board,134
human papillomavirus,133
healthy diet,131
skin problems & treatments,128
painful sex,128
high blood pressure,124
erectile dysfunction,122
blood sugar,117
immune system,115
mental health,114
pain medications,113
sleep disorders,110
multiple sclerosis,109
herniated disc,108
second trimester,106
lose weight,105
mens health,105
type 2,104
abdominal pain,104
blank layout test,102
myocardial infarction,101
fitness & exercise,101
ulcerative colitis,100
type 1,96
physician directory,94
doctor search,94
find a physician,94
acid reflux,94
find a doctor,94
skin care,93
congestive heart failure,92
pet health,92
sleep apnea,86
eye health,85
bipolar disorders,83
1st trimester,82
2nd trimester,82
breast cancer,82
back pain,79
obsessive compulsive disorder,77
health news,77
kaiser permanente medical group,74
nervous system,74
gluten intolerance,72
parenting - baby (0-12 months),71
birth control,68
tension headache,67
as was previously defined [10 concepts found most closely related to question asked],67
cosmetic surgery,63
joint pain,62
brain & nervous system,62
retinal migraine,61
visual pain,59
first aid,59
low fat,58
pregnancy symptoms,58
blood pressure,57
hay fever,57
rheumatoid arthritis,57
exercise rehabilitation,56
exercise physical therapy,56
strength training,56
plastic surgery,56
joint replacement,56
exercise therapies,56
attention deficit hyperactivity disorder,56
exercises therapy,55
exercise therapy,55
exercises treatments and procedures,55
exercises rehabilitation,55
exercise therapy (regime therapy),55
hot flashes,55
exercises (regime therapy),55
weight gain,55
sleep problems,54
webmd magazine,54
weight management,54
physical therapy exercises,54
rehabilitation exercise,53
hepatitis c,53
hormone replacement therapy,53
diabetes mellitus,53
newsletter overlay,52
ear infection,51
therapeutic exercise,50
webmd the magazine,50
ovarian cancer,50
skin problems,50
womens health,50
colon cancer,49
therapeutic exercise (regime therapy),49
hepatitis b,49
health insurance & medicare,49
symptoms of lupus,48
therapeutic exercises,47
aging skin,47
chest pain,47
ovulation cycle,47
lupus symptoms,47
therapy exercise,47
lupus forum,46
lupus disease,46
lupus online community,46
lupus message board,46
kidney disorders,46
lupus support group,46
dukan diet,46
heart failure,46
infectious diseases,46
shortness of breath,46
attention deficit,45
lung cancer,45
health a-z,45
adult adhd,45
healthy eating,44
hcg diet,44
migraines headaches,44
high cholesterol,42
learning disabilities,42
lung disease respiratory problems,42
food poisoning,42
adult add,42
blank layout medicinenet test,42
hepatitis a,42
eating healthy,41
dermal fillers,41
cold & flu,41
ad served sponsor box,41
substance abuse,41
food addiction,40
cervical cancer,40
prostate cancer,40
colorectal cancer,40
sleep deprivation,40
viral load,40
sex & relationships,40
olive oil,39
kidney failure,39
chronic pain,39
eating well,39
urinary tract infection,38
degenerative arthritis,38
significant other,38
opportunistic infections,38
drug abuse,38
degenerative joint disease,37
pancreatic cancer,37
heart health,37
health & wellness,36
breast biopsy,36
vitamin d,36
exchanging information and asking questions among likeminded guy,36
mental illness,36
sexually transmitted disease,35
alzheimer's disease,35
diet club,35
diet forum,35
sexual intercourse,35
diet support,35
thyroid disorders,35
blood disorders,34
sexual issues,34
cholesterol management,34
allergic reaction,34
health insurance,34
phone tracking,33
advertising tracking,33
advertising measurement,33
tracking numbers,33
marketing analytics,33
advertising metrics,33
advertising effectiveness,33
call recording,33
advertising response,33
irritable bowel syndrome,33
online analytics,33
call tracking,33
advertising statistics,33
omega-3 fatty acids,33
call monitoring,33
yeast infection,33
marketing reports,33
joint swelling,33
call measurement,33
menstrual cycle,33
crohn's disease,32
sexual conditions,32
food allergy,32
low back pain,32
prescription medications,32
illegal drugs,32
health information,32
sexual behavior,31
mayo clinic,31
encounter due to first normal pregnancy supervision,31
daniel denoon,31
blood clot,31
learning about,31
childhood obesity,30
smoking cessation,30
betty ford,30
breast cancer symptoms,30
coronary artery disease,29
knee replacement,29
family history,29
breast lumps,29
physical therapy,29
seizure disorder,28
device (physical object),28
diabetes mellitus type 2,28
heartburn gerd,28
eating disorders,28
renal disease,28
hip replacement,28
birth control methods,28
insulin pump,28
poison ivy,28
pictures of,27
viral hepatitis,27
bipolar disorder,27
tonsil stones,27
anorexia nervosa,27
fish oil,27
skin condition,27
breast cancer treatments,26
living together,26
sore throat,26
stress management,26
infertility treatment,26
infertility & reproduction,26
blood chemistry,26
breast self exam,26
pelvic pain,26
human anatomy,26
brest cancer,25
breast health,25
breast cancer drugs,25
systemic lupus,25
ectopic pregnancy,25
becker phelps,25
encounter due to contraceptive management,25
high fiber,25
sleep medication,25
children's health,25
disease treatment overview,25
types of breast cancer,25
side effect,25
contraceptive methods,25
last trimester,24
athlete's foot,24
first trimester,24
family medicine,24
last trimester of pregnancy,24
quit smoking,24
encounter for other specified contraceptive management in icd9cm,24
last trimester pregnancy,24
migraine headache,24
inflammatory bowel disease,24
dr raj,24
last trimesters,24
last pregnancy trimester,24
spinal cord,24
sheldon marks md,24
binge eating,23
sports injuries,23
encounter for dietary surveillance and counseling,23
healthy seniors,23
parkinsons disease,23
recipe guide,23
chronic obstructive pulmonary disease (copd),23
cooking light,23
movement disorder,22
knee pain,22
sexual health,22
elementary school,22
atopic dermatitis,22
type 2 diabetes,22
vitamin c,22
sports medicine,22
penis size,22
human body,22
bones and joints,22
memory loss,22
kaiser permanente medical ctr,21
webmd health check,21
genital warts,21
pregnancy trimester,21
panic attacks,21
pain relief,21
health assessment,21
nerve pain,21
kidney disease,21
health care,20
folic acid,20
birth control method,20
contraception (finding),20
risk factors,20
aspirin and colon cancer,20
sexual abuse,20
non-steroidal anti-inflammatory agents (nsaids),20
webmd fit,20
control fertility,20
anxiety panic,20
infectious disease,20
breast feeding,20
bladder cancer,20
polycystic ovary syndrome,20
bladder infection,20
birth controls,20
contraceptive method,20
contraceptives methods,20
fertility control,20
health care reform,20
pregnancy trimesters,20
missed period,20
inhibition of fertilization,19
pregnancy third trimester,19
women's health,19
chronic obstructive pulmonary disease,19
fertilization inhibition,19
stomach flu,19
diet therapy,19
healthy cooking,19
pelvic inflammatory disease,19
women's colon cancer,19
risk factor,19
insulin resistance,19
dietary supplements,19
menstrual period,19
kidney stones,19
family support,19
sinus infection,19
head injury,19
liver disease,18
sexual molestation,18
alcohol abuse,18
first trimester pregnancy,18
major depression,18
method birth control,18
health topics,18
gum disease,18
nutrition therapies,18
brain cancer,18
blended family,18
parkinson's disease,18
dental care,18
nerve damage,18
nutrition therapy,18
bone health,18
strep throat,18
foot pain,18
fallopian tube,18
urinary problems,18
affordable care act,18
am i pregnant,17
genital herpes simplex,17
vitamin e,17
acid reflux (gerd),17
belly fat,17
sex drive,17
sexually transmitted diseases,17
vitamin b12,17
hiv aids,17
macular degeneration,17
type 1 diabetes,17
urinary tract infections,17
brain tumor,16
older babies,16
throat cancer,16
eye doctors in orlando,16
bowel movement,16
drug overdose,16
eye doctors in florida,16
infant development,16
poison oak,16
exams and tests,16
health coverage,16
baby milestones,16
dietary fiber,16
blood test,16
highrisk pregnancy,16
lactose intolerance,16
alcohol use,16
dry skin,16
atrial fibrillation,16
neck pain,16
third trimester pregnancy,15
mouth cancer,15
swollen glands,15
attention deficit hyperactivity disorder (adhd),15
head lice,15
vaginal discharge,15
health guides,15
self injury,15
bronchial asthma,15
adult onset diabetes,15
self harm,15
home treatment,15
back ache,15
urinary incontinence,15
canola oil,15
cirrhosis of the liver,15
medical diseases,15
self abuse,15
iron deficiency anemia,15
over the mountain pediatrics,15
skin disease,15
cold sore,15
adult onset diabetes mellitus,15
healthcare partners medical grp,15
bad breath,15
pregnancy loss,15
birth control pill,15
doctor j express care,15
medical conditions,15
cluster headaches,15
pelvic exam,14
pink eye,14
panic attack,14
weight training,14
chronic bronchitis,14
gastroesophageal reflux,14
carpal tunnel syndrome,14
bone scan,14
health insurance costs,14
examinations and tests,14
h. pylori,14
health insurance benefits,14
health insurance plans,14
insect bite,14
alternative medicine,14
affordable health insurance,14
kidney cancer,14
lyme disease,14
bacterial vaginosis,14
liver cancer,14
diabetes mellitus type 1,14
gluten free,14
quitting smoking,14
psoriatic arthritis,14
yeast infections,14
hiatal hernia,14
individual health insurance,14
cold symptoms,14
healthy living,14
gastroesophageal reflux disease,14
more than 6 months,14
poison sumac,14
wheat allergy,14
palo alto medical foundation,14
working out,14
first pregnancy trimesters,13
birth control pills,13
iron deficiency,13
female infertility,13
elaine magee,13
acute renal failure,13
emergency room,13
uab 1917 outpatient clinic,13
dental health,13
postherpetic neuralgia,13
first trimester (qualifier value),13
baby month by month,13
fungal infection,13
flu symptoms,13
fatigue or tiredness,13
nec in icd9cm_2012,13
anxiety disorder,13
hiv infection,13
antidepressant - tricyclics & related (non-select reuptake inhibitors),13
prenatal care,13
early placental phases,13
physical activity,13
coronary heart disease,13
lymph nodes,13
tick bites,13
peanut allergy,13
postpartum depression,13
medical research,13
angina pectoris,13
early placental phase,13
chronic obstructive lung disease,13
red blood cells,13
oral contraceptives,13
testicular cancer,13
web md,13
childrens health,13
early pregnancy symptoms,13
eye drops,13
celiac disease,13
overview of surgical procedure,13
warning signs,13
healthcare information,13
overactive bladder,13
tooth decay,13
medical library,13
scripps clinic medical group,13
first pregnancy trimester,13
medical information webm,13
canker sore,13
eye strain,13
first trimesters,12
symptoms of pregnancy,12
bile duct,12
wisdom teeth,12
acute bronchitis,12
food allergies,12
urinary tract,12
pap smear,12
urinary incontinence oab,12
aurora advanced healthcare,12
high triglycerides,12
surgical treatment of disease,12
therapy nutrition,12
plantar warts,12
fire ant,12
side dish,12
first trimester pregnancy (finding),12
acquired immune deficiency syndrome (aids),12
metropolitan anesthesiology,12
kidney infection,12
mediterranean diet,12
cystic fibrosis,12
renal failure,12
diabetes diet,12
green tea,12
lymph node,12
metabolic syndrome,12
first trimester pregnancies,12
multiple personality,11
peripheral neuropathy,11
children's vaccines,11
healthy women,11
weight loss surgery,11
nutrition care,11
runny nose,11
manic depression,11
spicy foods,11
melanoma skin cancer,11
itchy skin,11
foot problems,11
renal function,11
mercy medical group,11
cholesterol levels,11
nutrition management (regime therapy),11
diverticular disease,11
health reform,11
eye surgery,11
ovarian cysts,11
soy allergy,11
signs of pregnancy,11
cardiovascular disease,11
md on call hospitalists,11
increase metabolism,11
interstitial cystitis,11
shellfish allergy,11
nutrition management,11
third pregnancy trimester,11
care nutrition,11
pernicious anemia,11
vitamin a,11
premature ejaculation,11
sinus infections,11
potty training,11
facial hair,11
internal medicine associates,11
antibacterial agents,11
third trimester pregnancies,11
posttraumatic stress disorder,11
heart problems,11
first pregnancy symptoms,11
chronic disease,11
capital womens care,11
losing weight,11
kegel exercises,11
hormone therapy,11
yellow jacket,11
third pregnancy trimesters,11
brown sugar,11
brain injury,11
ear disorders,11
airway hyperreactivity,11
semen analysis,11
deep vein thrombosis,11
third trimester (qualifier value),11
sleep disorder,11
abnormal vaginal bleeding,11
selective serotonin reuptake inhibitors,11
stomach pain,11
nutritional therapy,11
b vitamins,11
panic disorder,11
management nutrition,11
nutritional therapies,11
charley horse,11
spinal stenosis,11
cholesterol test,11
contact dermatitis,11
morbid obesity,11
egg allergy,11
herpes simplex,11
chronic illness,10
lemon juice,10
light therapy,10
tree nut allergy,10
upset stomach,10
human papilloma virus (hpv) infection,10
skin tags,10
bronchitic asthma,10
ace inhibitors,10
sprained ankle,10
varicose veins,10
cognitive behavioral therapy,10
cradle cap,10
disease or condition overview,10
diet good (finding),10
dry mouth,10
vasectomy reversal,10
bright health physicians,10
generalized anxiety disorder,10
good diet,10
fetal development,10
depressive disorder,10
child safety,10
cafl - chronic airflow limitation,10
flatus (passing gas),10
valley orthopedic associates,10
low blood pressure,10
natural conception,10
abnormal pap smear,10
milk allergy,10
gestation period,10
chronic airway obstruction,10
br asthma,10
third trimester pregnancy (finding),10
restless legs syndrome,10
infant care,10
skin rash,10
diaper rash,10
child development,10
drug treatment of disease,10
male factor infertility,10
chronic airways disease,10
kidney function,10
teen health,10
brown recluse spider,10
dissociative identity disorder,10
actinic keratosis,10
cal - chronic airflow limitation,10
heart rate,10
wisdom tooth,10
chronic airflow limitation,10
liver transplant,10
bone marrow,10
e. coli,10
home remedies,10
asthma (disorder),10
cancer chemotherapy,10
peripheral artery disease,10
skin infection,10
bacterial infection,10
depression symptoms,10
chronic airway disease,10
eye disease,10
early placental,10
diet good,10
sea salt,10
west nile virus,10
fungal infections,10
body mass index,10
frontier behavior health,10
sperm production,10
eating habits,10
cholesterol level,10
muscle cramps,10
pregnancy test,10
pregnancy weight gain,10
atkins diet,10
chronic obstructive lung disease (disorder),10
pain during sex,10
actions to lose weight,10
good cholesterol,10
periodontal disease,10
healthy diet (finding),10
chronic irreversible airway obstruction,10
dissociative disorders,10
blood cell cancer,10
jock itch,10
irregular heartbeat,10
third trimesters,10
vaginal infections,10
hep b,10
asthma disorders,10
chronic obstructive airway disease,10
alcohol dependence,9
sickle cell,9
laceration (morphologic abnormality),9
alcoholic cirrhosis,9
weight control,9
seborrheic dermatitis,9
otitis media,9
mount sinai hospital emr,9
bmi calculator,9
chronic kidney disease,9
flat feet,9
wound care,9
muscle pain,9
placental phase,9
mood disorder,9
stress reduction,9
food synergy,9
pediatric associates,9
heart attacks,9
breast lump,9
low blood sugar,9
flat abs,9
open wound of finger without complication,9
asthma attack,9
ct scan,9
tooth extraction,9
acetylsalicylic acid,9
swelling and protein in urine in pregnancy),9
kidney stone,9
squamous cell carcinoma,9
medication treatment of disease,9
asperger's syndrome,9
nutrition therapy (regime therapy),9
migraine with aura,9
laceration - injury,9
vaginal dryness,9
plantar fasciitis,9
basal cell carcinoma,9
abnormal pap test,9
multiple open wounds without complication,9
social security,9
blood clots,9
tear - wound,9
plantar wart,9
karina allrich,9
heavy sweating,9
open wound of finger,9
baby development,9
prickly heat,9
glucose tolerance test,9
posttraumatic stress disorder (ptsd),9
diet programs,9
sinus problems,9
adult acne,9
fibroids of the uterus,9
fatty liver,9
vaginal bleeding,9
nausea and vomiting,9
lower back,9
cesarean section,9
foot care,9
acute sinusitis,9
blood transfusion,9
nose job,9
diet information,9
depressive disorders,9
hammer toe,9
zone diet,9
placental phases,9
e. coli infections,9
abdominal bloating,9
st. john's wort,9
lacerated wounds,9
trimester third,9
dermatology associates,9
open wound of finger (disorder),9
more than 12 months,9
central nervous system,9
functional foods,9
pregnancy after 35,9
root canal,9
diet plans,9
lumbar puncture,9
injury laceration,9
home treatment of disease,9
laceration - injury (disorder),9
low sex drive,9
open wound of finger without complication (disorder),9
spine surgery,9
tinea pedis,9
cut - accidental (disorder),9
main dish,9
blood in stool,9
uterine fibroids,9
cut - accidental,9
sun damage,9
work outs,9
hep c,9
clinical depression,9
healthy recipe,9
alta family health clinic,9
blood thinner,9
open wound,9
stress relief,9
urinary disorder,9
vitamin d deficiency,9
diabetic neuropathy,9
spider bite,9
knee injury,9
thyroid cancer,9
chronic sinusitis,9
long term,9
fad diet,9
herpes simplex virus,9
nutrition treatments and procedures,9
oral cancer,9
circadian rhythm,9
multiple open wounds without complication (disorder),9
fallopian tubes,9
hip pain,9
black widow spider,9
digestive problems,9
stretch marks,9
mood swings,9
tennis elbow,9
vaginal infection,9
lacerated wound,9
preeclampsia (high blood pressure,9
red meat,8
whole foods,8
healthy meals,8
juvenile rheumatoid arthritis,8
stuffy nose,8
chicken pox,8
fungal disease,8
digestive system,8
abdominal cramps,8
sensitive skin,8
coad - chronic obstructive airways disease,8
chronic obstructive pulmonary disease finding (finding),8
diagnostic examinations and tests,8
premature babies,8
stem cells,8
anal fissures,8
unspecified type,8
lavarne burton,8
birth defects,8
shin splints,8
celiac disease (gluten enteropathy),8
chronic obstructive pulmonary disease finding,8
community hospitalists med grp,8
tasigna oral,8
spine surgeon,8
straub clinic,8
foul-smelling urine,8
celebrity makeovers,8
pain clinic,8
dysthymic disorder,8
baby bottles,8
calcium channel blockers,8
ischemic stroke,8
kathleen zelman,8
stuffed up,8
poisonous spider,8
heat rash,8
difficulty breathing,8
sharp rees-stealy medical group,8
blood loss,8
bleeding gums,8
rick seiden,8
staph infection,8
rheumatology associates,8
contact lenses,8
excessive sweating,8
dark urine,8
complete blood count,8
low testosterone,8
neurologists in california,8
orthopedic physician associates,8
diagnostic exams and tests,8
saturated fat,8
insect sting,8
chronic bronchitis (disorder),8
breast changes,8
cloudy urine,8
sitz bath,8
major depressive disorder,8
razor bumps,8
stress disorder,8
children's health center,8
julie block,8
us healthworks,8
body fat,8
skin conditions,8
lower back pain,8
tooth loss,8
orthopedic specialists,8
sleep hygiene,8
hair problems,8
painful intercourse,8
personal trainer,8
high protein,8
harvard vanguard medical assocs,8
peptic ulcer,8
anaphylactic shock,8
work out,8
spider bites,8
family planning with contraception,8
gluten free goddess,8
eye lift,8
exercise (observable entity),8
pregnancy second trimester,8
virginia mason medical center,8
steven taylor,8
meal planning,8
boost metabolism,8
seasonal affective disorder,8
bowel obstruction,8
social phobia,8
knee problems,8
hepatitis b infection,8
back exercises,8
clogged arteries,8
allergic rhinitis (nasal allergies),8
sleep management,8
skin irritation,8
worst foods,8
disc herniation,8
dark circles,8
pregnant after miscarriage,8
pain in chest,8
without mention of status asthmaticus,8
adult acute lymphoblastic leukemia,8
brown urine,8
hemorrhoids (piles),8
ruptured disc,8
common acne,8
spinal tap,8
adult diabetes,8
pregnancy message board,8
healthy snacks,8
muscle spasm,8
shannon clinic,8
vitamin b12 deficiency anemia,8
safe sex,8
pregnancy after loss,8
carolina health specialists,8
south beach diet,8
heel pain,8
endocrine disorder,8
neuropathic pain,8
second trimester pregnancy,8
hep a,8
pregnancy after miscarriage,8
spina bifida,8
no icd-o subtype,7
prenatal visits,7
athlete’s foot,7
emotional eating,7
acute rhinitis,7
alveolar emphysema of lung,7
fish oil supplements,7
neurologists in sacramento,7
childhood acute lymphoblastic leukemia,7
rem sleep,7
acute nasopharyngitis,7
diet news,7
menstrual cramps,7
diabetes mellitus - adult onset,7
human papilloma virus (hpv),7
motion sickness,7
vitamin b-12,7
soy sauce,7
infant milestone,7
hdl (good) cholesterol,7
stomach acid,7
addictions and substance abuse,7
triglycerides level,7
healthy food,7
sickle cell disease,7
diabetes mellitus type ii,7
bariatric surgery,7
vitamins & supplements,7
male infertility,7
sedentary lifestyle,7
centrilobular emphysemas,7
west nile fever,7
aortic aneurysm,7
polycystic ovarian syndrome,7
diabetes mellitus without complication,7
ankylosing spondylitis,7
montgomery family medicine,7
foods health,7
leg pain,7
night terrors,7
leg cramps,7
nasal polyps,7
apple cider vinegar,7
dysplastic nevi,7
irregular menstrual cycles,7
insulin dependent diabetes,7
red bell pepper,7
centriacinar emphysema,7
adult onset,7
heart rhythm,7
eye care,7
trouble sleeping,7
herpes zoster,7
health foods,7
low cholesterol diets,7
acute coryza,7
squamous cell,7
graves disease,7
venous insufficiency,7
walking pneumonia,7
red onion,7
skin tag,7
chest ache,7
blood flow,7
hpv genital warts,7
protein urine test,7
iron-deficiency anemia,7
allergic pinkeye,7
baby teeth,7
diet clubs,7
insect stings,7
pap test,7
glucose urine test,7
catheter ablation,7
men's health,7
laser hair removal,7
omega 3,7
brittle diabetes mellitus,7
shingles vaccine,7
age spots,7
new bern family practice,7
how to lose weight,7
baby sleep,7
proteinuria test,7
diet pills,7
rocky mountain spotted fever,7
primary care associates,7
urinary bladder,7
hip exercises,7
pink urine,7
sleep habits,7
stool softener,7
infectious disease associates,7
food health,7
healthy hair,7
ochsner clinic,7
high fiber diet,7
teeth extraction,7
rectal bleeding,7
knee sprain,7
neuroscience clinic stanford,7
diabete type 2,7
endoscopic ultrasound,7
bad cholesterol,7
healthy men,7
skin rashes,7
blood cancer,7
puss caterpillar,7
hemorrhoid surgery,7
diabetes mellitus type 2 (disorder),7
day care,7
high blood sugar,7
intimate relationship,7
