Channel	Feed
Sports / Football	http://blogs.nfl.com/feed/
Sports / Football	http://www.nfl.com/rss/rsslanding?module=HP_headlines
TV & Movie News	http://www.shockya.com/news/wp-rss.php
TV & Movie News	http://feeds.feedburner.com/monstersandcritics/people
TV & Movie News	http://www.accesshollywood.com/content/xml/rss/access-originals.xml
TV & Movie News	http://feeds.feedburner.com/comingsoonnet30
TV & Movie News	http://feeds.thehollywoodgossip.com/thehollywoodgossip
TV & Movie News	http://www.reelzchannel.com/videorss
TV & Movie News	http://feeds.hollywood.com/hollywoodcom_entertainment_highlights
TV & Movie News	http://www.cinemablend.com/rss-all.xml
TV & Movie News	http://feeds.ew.com/entertainmentweekly/latest
TV & Movie News	http://feeds.people.com/people/headlines
TV & Movie News	http://rss.tvguide.com/breakingnews
TV & Movie News	http://www.rollingstone.com/siteServices/rss/allNews
TV & Movie News	http://thebosh.com/index.xml
TV & Movie News	http://www.thewrap.com/rss
TV & Movie News	http://feeds.feedburner.com/thr/news
TV & Movie News	http://feeds.feedburner.com/variety/headlines
TV & Movie News	http://feeds.hollywood.com/hollywoodcom_weekend_box_office_top_10
TV & Movie News	http://feeds.ew.com/ew/popwatch
TV & Movie News	http://feeds.feedburner.com/people/photos
TV & Movie News	http://rss.tvguide.com/photogallery
TV & Movie News	http://www.rollingstone.com/siteServices/rss/allBlogs
TV & Movie News	http://feeds.feedburner.com/thr/reviews/allreviews
TV & Movie News	http://feeds.hollywood.com/hollywoodcom_recent_news
TV & Movie News	http://feeds.ew.com/entertainmentweekly/news-briefs
TV & Movie News	http://feeds.feedburner.com/people/stylewatch/offtherack
TV & Movie News	http://www.rollingstone.com/siteServices/rss/allNews
TV & Movie News	http://feeds.feedburner.com/live_feed
TV & Movie News	http://feeds.hollywood.com/hollywoodcom_new_reviews
TV & Movie News	http://rss.ew.com/web/ew/rss/media/tv/index.xml
TV & Movie News	http://www.rollingstone.com/siteServices/rss/albumReviews
TV & Movie News	http://feeds.hollywood.com/hollywoodcom_celeb_photos
TV & Movie News	http://feeds.ew.com/entertainmentweekly/tvwatch
TV & Movie News	http://www.rollingstone.com/siteServices/rss/songReviews
TV & Movie News	http://feeds.ew.com/entertainmentweekly/watching-tv
TV & Movie News	http://www.rollingstone.com/siteServices/rss/allVideos
TV & Movie News	http://rss.ew.com/web/ew/rss/media/movies/index.xml
TV & Movie News	http://www.rollingstone.com/siteServices/rss/randomNotes
TV & Movie News	http://feeds.ew.com/entertainmentweekly/music
News	http://feeds.huffingtonpost.com/huffingtonpost/raw_feed
News	http://feeds.nytimes.com/nyt/rss/HomePage
